sku	name	weight	height	width	depth
9315543606352	Body Assist Soft Compression Arthritis Gloves Grey Extra Large	0	0	0	0
9315543993810	Body Assist Curved Finger Splint Small	0	0	0	0
9315543993827	Body Assist Curved Finger Splint Medium	0	0	0	0
9315543993834	Body Assist Curved Finger Splint Large	0	0	0	0
9315543607069	Body Assist Deluxe Thermal X-Lock Knee Wrap Small	0	0	0	0
9315543607083	Body Assist Deluxe Thermal X-Lock Knee Wrap Large	0	0	0	0
9315543993858	Body Assist Finger Cot Splint Small	0	0	0	0
9315543993865	Body Assist Finger Cot Splint Medium	0	0	0	0
9315543993872	Body Assist Finger Cot Splint Large	0	0	0	0
9315543993896	Body Assist Frog Finger Splint Small	0	0	0	0
9315543993902	Body Assist Frog Finger Splint Medium	0	0	0	0
9315543993919	Body Assist Frog Finger Splint Large	0	0	0	0
9315543606925	Body Assist My Feet Gel Toe & Finger Cap	0	0	0	0
9315543606895	Body Assist My Feet Gel Toe & Finger Sleeve	0	0	0	0
9315543606949	Body Assist My Feet Gel Toe Stretchers	0	0	0	0
9315543607021	Body Assist My Feet Gel Top-Of-Foot Comfort Sleeve Small-Medium	0	0	0	0
9315543607038	Body Assist My Feet Gel Top-Of-Foot Comfort Sleeve Large-Extra Large	0	0	0	0
9315543606918	Body Assist My Feet D-Loop Gel Toe Spreaders	0	0	0	0
9315543606932	Body Assist My Feet Gel Bunion Guard	0	0	0	0
9315543604051	Body Assist Pre-Tape Foam Underwrap 70mm X 27mm	0	0	0	0
9315543607854	Body Assist Sports Lock Lace-Up Ankle Guard Black Extra Small	0	0	0	0
9315543607861	Body Assist Sports Lock Lace-Up Ankle Guard Black Small	0	0	0	0
9315543607878	Body Assist Sports Lock Lace-Up Ankle Guard Black Medium	0	0	0	0
38016102128	Body Assist Tulis Heavy Duty Heel Cups Regular	0	0	0	0
38016102142	Body Assist Tulis Heavy Duty Heel Cups Large	0	0	0	0
/5202236117513	ERRE DUE Lasting Contour Lip Pencil 51	0	0	0	0
/5202236117568	ERRE DUE Lasting Contour Lip Pencil 56	0	0	0	0
/5202236159889	ERRE DUE Lasting Contour Twin Eye Pencil 101	0	0	0	0
/5202236159872	ERRE DUE Lasting Contour Twin Eye Pencil 100	0	0	0	0
/5202236159865	ERRE DUE Lasting Contour Twin Lip Pencil 151	0	0	0	0
/5202236206347	ERRE DUE Lip Shine Gloss 205 Pinkybloom	0	0	0	0
/5202236206361	ERRE DUE Lip Shine Gloss 207 Kuku Madness	0	0	0	0
/5202236159650	ERRE DUE Lumicolor Creamy Eye Shadow 162 American Dream	0	0	0	0
/5202236159667	ERRE DUE Lumicolor Creamy Eye Shadow 163 Mustang Mike	0	0	0	0
/5202236142225	ERRE DUE Mat Eyeshadow 202 Mocha	0	0	0	0
/5202236187417	ERRE DUE Metallic Lip Gloss 541 Beige	0	0	0	0
/5202236187424	ERRE DUE Metallic Lip Gloss 542 Pink	0	0	0	0
/5202236115045	ERRE DUE Neverending Foundation 16hrs 04 Golden Nude	0	0	0	0
/5202236143291	ERRE DUE Satin Eyeshadow 309 Mulberry Purple	0	0	0	0
/5202236159490	ERRE DUE Silky Premium Lip Definer 505 Tender	0	0	0	0
/5202236159599	ERRE DUE Silky Premium Lip Definer 515 Peony	0	0	0	0
/5202236116028	ERRE DUE Skin Perfection Foundation 02 Warm Beige	0	0	0	0
/5202236103011	ERRE DUE Smart Eye Pencil	0	0	0	0
/5202236154051	ERRE DUE Sparkling Powder 405 Wish To Be Here	0	0	0	0
/5202236119531	ERRE DUE Waterproof Lip Designer 203 Must Have	0	0	0	0
/5202236119593	ERRE DUE Waterproof Lip Designer 209 Innocence	0	0	0	0
/5202236187516	ERRE DUE Full Color Metallic Lipstick 551 Fire & Water	0	0	0	0
/5202236159841	ERRE DUE Kissproof Matte Lip Color 705 Route 66	0	0	0	0
/5202236206293	ERRE DUE Lip Shine Gloss 211 Dare To Be Band	0	0	0	0
/5202236199526	ERRE DUE Long Lasting Eye Liner 52 Dark Brown	0	0	0	0
/5202236199533	ERRE DUE Long Lasting Eye Liner 53 Copper	0	0	0	0
/5202236187615	ERRE DUE Metallic Touch Lip Color 761 Little Mermaid	0	0	0	0
/5202236187646	ERRE DUE Metallic Touch Lip Color 764 Heaven In Marrakesh	0	0	0	0
/5202236187622	ERRE DUE Metallic Touch Lip Color 762 Sirens Whispers	0	0	0	0
/5202236187639	ERRE DUE Metallic Touch Lip Color 763 Lost In The Soaks	0	0	0	0
/5202236187431	ERRE DUE Metallic Lip Gloss 543 Plum	0	0	0	0
/5202236159544	ERRE DUE Silky Premium Lip Definer 510 Blood	0	0	0	0
/5202236157663	ERRE DUE Starlight Creamy Eyeshadow 140 Paris	0	0	0	0
/5202236205036	ERRE DUE True Cover Concealer 103 Hazelnut	0	0	0	0
/5202236159759	ERRE DUE Vinyl Lip Lacquer 303 Savage Luxury	0	0	0	0
/5202236119692	ERRE DUE Waterproof Lip Designer 219 Sheepskin	0	0	0	0
/5202236159735	ERRE DUE Drama Sized Mascara 502	0	0	0	0
/5202236134732	ERRE DUE Skinlike Foundation 203 Caramel Like	0	0	0	0
/5202236205029	ERRE DUE True Cover Concealer 102 True Beige	0	0	0	0
/5202236205074	ERRE DUE True Cover Concealer 107 Toffee	0	0	0	0
/5202236205005	ERRE DUE True Cover Concealer 101A Cream	0	0	0	0
/5202236113041	ERRE DUE Xcess 3D Mascara 04 Brown	0	0	0	0
/9300711073029	Strepsils Herbal Cough Lozenges Fresh Menthol 16 Pack	0	0	0	0
9300711073005	Strepsils Herbal Cough Lozenges Honey Lemon 16 Pack	0	0	0	0
/9300711072992	Strepsils Herbal Cough Lozenges Honey Lemon 32 Pack	0	0	0	0
9300711039599	Strepsils Sugar Free Lemon Lozenges 36 Pack	0	0	0	0
63636009250	PharmaSystems Contact Lens Cases 2 Pack	0	0	0	0
9347597001449	Eco Tan Lemongrass Natural Deodorant 60ml	200	0	0	0
/9312657300244	Jack N' Jill Baby Lotion 100ml	0	0	0	0
/9310460110364	Lady Jayne Salon Pro Rechargeable Straightening Brush	0	0	0	0
769807168077	Naturobest Cycle & Skin Support 90 Capsules	0	0	0	0
/9353740003932	Salt by Hendrix  Sunshine Crystals	0	0	0	0
/8720387426324	Skin Republic Matrixyl 3000 10% Serum 30ml	0	0	0	0
8801051022766	Reach Waxed Shred Resistant Floss 50m	0	0	0	0
5010724537503	Finishing Touch Flawless Brows	0	0	0	0
5010724537541	Finishing Touch Flawless V2 Replacement Heads	0	0	0	0
/7610472873113	Medela Day&Night Duo Soother 6-18m	0	0	0	0
/9314807080044	Promensil Menopause Hair Growth & Thickness 40 Tablets	0	0	0	0
8004395001118	Proraso Shaving Cream 150ml	0	0	0	0
8004395001149	Proraso Shaving Soap Jar 150ml	0	0	0	0
4001638529457	Weleda Regenerating Body Lotion Pomegranate 200ml	0	0	0	0
9313501144250	No-Doz Plus 24 Tablets	0	0	0	0
9310041900896	Aspro Clear 24 Tablets	0	0	0	0
9338817023624	Glasshouse Fragrances Sunsets In Capri Soy Candle 380g	0	0	0	0
9319871001865	White Glo Sleep Grind Guard 10 Pack	0	0	0	0
