sku,name,on_web,soh_web,price,petrie,bunda,con,franklin,web,total,is_deleted_minfos,is_deleted,is_visible,is_retired,num_tiggles,bcid
28399122325,PUSHEEN - SQUISHEEN SITTING 28CM,FALSE,0,59.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399094868,PUSHEEN - SUSHI PLUSH 24CM,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399111725,PUSHEEN - PUGSHEEN,FALSE,0,44.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988446683,PUSHEEN - BLIND BOX BREAKFAST SURPRISE,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918616091,PUSHEEN - EXERCISE BOOK SET,FALSE,0,9.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399107933,\XMAS18 - PUSHEEN WREATH ORNAMENT,FALSE,0,19.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
28399111701,PUSHEEN - BACKPACK CLIP NARWHAL,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918643646,PUSHEEN - WILD SIDE PEN 10 COL,FALSE,0,9.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988433102,PUSHEEN - CHOC DIPPED COOKIE,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988395950,PUSHEEN - BLIND BOX CATFE,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399111770,PUSHEEN - KEY CHAIN SUPER PUSHEENICORN,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5060491773857,PUSHEEN - SOCK IN A MUG PUSHEENICORN,FALSE,0,34.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121496,PUSHEEN - BLIND BOX SERIES 9,FALSE,0,17.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475072,PUSHEEN - WITH DONUT GIFTSET PLUSH & KEY,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399069347,PUSHEEN - PLUSH MED 30CM,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918643653,PUSHEEN - WILD SIDE STATIONERY SET,FALSE,0,29.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988475157,PUSHEEN - BLUE DINOSHEEN 23CM,FALSE,0,49.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988461938,PUSHEEN - SQUISHEEN ROUND RAINBOW 27CM,FALSE,0,59.95,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,
778988434208,PUSHEEN - SIPS JUICE BOX,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
