sku,name,weight,width,depth,height
//9421017768898,Trilogy Bakuchiol+ Booster Treatment 12.5ml,150,0,0,0
7618900911789,Mavala Nail Mini 178 Denim Blue,100,3,3,7
9310460171631,Lady Jayne Thin Headband 17163,0,0,0,0
//9421013061474,Kiwiherb ImmuneBerry 100mL,200,4,7,10
//9369998076031,SolarCare B3 SPF15 Moisturiser 250ml,0,0,0,0
//8716569033213,Re-Cycle-Me Robot World Craft Projects,0,0,0,0
//9300710003041,Euky Bear Bee Happy Baby Essential Oil Blend 15ml,0,0,0,0
//047144056104,Bausch + Lomb Boston One Step 5ml,0,0,0,0
9310460073133,Lady Jayne Ibis Clips 2 Pack 7313,0,0,0,0
//9338817012741,Glasshouse Fragrances Flower Symphony Eau De Parfum White Rose & Pear Blossom 14ml,100,0,0,0
813389017237,Don Joy Comfort Diabetic Support Unisex Socks 15-20 Black Large,150,8,3,20
//9338817020371,Glasshouse Fragrances 21 Spinning Carousel & A Tahaa Affair Soy Candle 380g,2000,28,28,10
9300655056812,Betadine Sore Throat Gargle Concentrated 15ml,100,4.4,4.3,15.6
//9349228004904,Peppermint Grove Vanilla Caramel Diffuser 100ml,0,0,0,0
3282770207514,Klorane Dry Shampoo with Aquatic Mint 150ml,181,7.8,17,4.3
9314694058843,Globite Silicone Travel Bottles 100ml 2 Pack,200,0,0,0
//9311262071624,Key Sun SIA Tinted Hair Wax 100ml - Pink,0,0,0,0
//079625031980,EcoTools Brighter Tomorrow Better Blends Ahead Set,500,20,20,20
9317408013930,Sally Hansen Nail Polish Remover For Sensitive & Artificial Nails - Acetone Free 150ml,250,8,3,12
9342126004533,The Jojoba Company Transformative Eye Serum 15mL,50,9,9,11.2
7618900915015,Mavala Cuticle Remover 10ml,100,3,3,10
/9312146012115,Thursday Plantation Eucalyptus Oil 200ml,250,5,5,12
736658496499,Wet Brush Exfoliating Scalp Massager Brush Lavender 1 Pack,60,7,7,8.5
9321299300055,Cancer Council Moisturising Sunscreen SPF50+ 110ml,250,5,3,15
//93631037,Dettol Classic Antiseptic Liquid 125ml,153,3,7,12.5
5000488202038,Rescue Remedy Drops 10ml,100,3,3,10
034533641003,Manicare Body Loofah Bath Brush 64100,0,0,0,0
736658598186,Wet Brush Shower Flex Detangling Brush - Purple,250,12,5,25
9333279040073,Flo Baby Saline Spray 15ml,100,3,3,12
4001638526708,Weleda Skin Food Body Butter 150ml,128,15.8,7,23.7
6970277517843,Alltest COVID-19 Oral Rapid Antigen Test 1 pack,80,12,12,17
//79625912715,EcoTools 1271 Foam Applicator Sponge,0,0,0,0
9313492907377,Oasis  Stainless Steel Travel Tumbler Sea Mist 1.2 Litre,400,16,10,28
9310263001616,Alpha Keri Super Hydrating Moisturising Lotion 1 Ltr,650,11,3,20
9313492889840,Oasis Tritan Motivational Sports Bottle Aquamarine 1 Litre,200,10,10,30
/9316542150914,Natio Kids Happy Days Essential Oil Blend 15ml,100,0,0,0
9314949260069,Gold Cross Castor Oil 100ml,250,5,5,12
/851325002015,Macadamia Healing Oil Treatment 10 ml,120,3.8,6,12.2
//787099574314,BASE SOAP Lemon Myrtle Hand Wash 1 Litre Refill,0,0,0,0
9310130074248,Otrivin Adult Nasal Spray 10ml,200,3,3,5
//3701129800850,Bioderma Sensibio Cleansing Gel 100ml,130,9,9,15.2
//9310160823939,Aleve 12 Hour Anti-Inflammatory Pain Relief Tablets - 12 Tablets,50,9,4,9
9300655603030,Betadine Antiseptic Topical Solution Liquid 100ml,150,5,5,10
9420060207330,Haakaa Reusable Silicone Yummy Pouch 2pk,200,10,3,10
9347597001326,Eco Tan By Sonya Eye Compost Apricot Eye Cream 18mL,50,4,4,7
9313501038047,Earclear Ear Ache Relief Drops 15ml,100,5,3,10
9369999033613,Eco Tan Invisible Tan 150ml,168,8,15,4
9352218001371,NOOSA BASICS Spray Deodorant Sandalwood 100ml,150,4,4,12
//9333279000350,Flo Nozoil Nasal Drops 15ml,33,3.5,10.5,3.4
//9310460171549,Lady Jayne Scrunchie Green 17154,0,0,0,0
4013718022611,Herbacin Cooling Feet and Leg Gel 100ml,150,5,5,12
//9310460171099,Lady Jayne Little Miss Scrunchies 2 Pack 17109,0,0,0,0
//9338817020913,Circa Home 21 Raspberry & Rhubarb Soy Candle 350g,0,0,0,0
9358732000135,"STUFF Daily Face Moisturiser Aloe, Almond & Patchouli Oil 100ml",100,5,5,12
//9321582004844,Martin & Pleasance Rest & Quiet Calm Formula Oral Drops 15ml,0,0,0,0
/5202236115045,ERRE DUE Neverending Foundation 16hrs 04 Golden Nude,0,0,0,0
//9332519113331,Splosh Dinosaur Light Up House,200,20,20,20
9329221222147,Manicare Glam 43 Adriana 22214,0,0,0,0
034533314006,Manicare Cuticle Scissors Curved 31400,0,0,0,0
9335955004287,MOOGOO Rosa Canina (Rosehip) Fruit Oil (100%) w/v 25ml,150,5,7,10
9310460110227,Lady Jayne Tangle Pro Wet Detangling Brush 11020,0,0,0,0
5013965704666,Vicks First Defence 15mL,30,5.1,5,10.2
9316542150730,Natio Sun Kids Everyday Sensitive SPF50+ 100ml,50,0,0,0
//9310460171570,Lady Jayne Scrunchie Sky Blue 17157,0,0,0,0
9338817012048,Glasshouse Fragrances Marseille Memoir Hand Cream Gardenia 100ml,200,5,5,15
7618900903012,Mavala Stop for Nail Biting 10ml,50,4,4,10
034533312002,Manicare Nail Scissors Curved 31200,0,0,0,0
9335955002962,MOOGOO Milk Shampoo 1 Litre,700,7,10,18
9325334010367,Reclens Eye Wash Cup 15ml 10 Pack,80,12.5,9,15.2
/9329221231132,Manicare DermaSCULPT Gua Sha Stone 23113,100,10,3,12
9338817023662,Glasshouse Fragrances Sunsets In Capri Eau De Parfum100ml,300,10,8,10
9330130004502,DermaVeen Sensitive Relief Eczema Cream 100ml,120,4.5,17.5,3.7
9300711281745,Optrex Refreshing Eye Drops for Tired Eyes 10ml,100,4,3,10
9313776014050,BODY PLUS 1405 Hypoallergenic Undertape 5cm*10m,80,5.3,10.2,7.5
//3282779384148,Klorane Leave-In Hair Cream with Desert Date 125ml,144,6.2,17,4
//9319912021029,Riodine Antiseptic Solution 15ml,50,8,3,3
3221160614556,Manicare Cuticle Therapy Oil 61455,0,0,0,0
//5202236143321,ERRE DUE Satin Eyeshadow 312 Smoky Signals,0,0,0,0
9325024003778,12Reasons Creative Styling Creme 236ml,450,10,10,17
//9415293234475,Manuka Honey Conditioning Face Mask 100ml,1000,0,0,0
//9338817012727,Glasshouse Fragrances Diving Into Cyprus Eau De Parfum Sea Salt & Saffron 14ml,100,2,2,12
9335955005918,A Bit Hippy Face Mist 100ml,120,5.1,5.2,10.2
9310460973112,Lady Jayne Salon Pro Porcupine Radial Brush 7311 Large,0,0,0,0
///9400581032802,Nutra-Life Glucosamine 1500 Complex Advanced 90 Tablets,274,6.5,12.2,6.5
9331134016201,Murine Clear Eyes 15ml,40,4,2,8
/9314807077143,AquaSun SunKiss Tanning Accelerator SPF 8 150mL Tube,250,6.8,9,12
//9335955004720,MOOGOO Tail Swat Roll-On 115ml,250,4,10,12
//9416114041975,Weleda Pomegranate Inspire & Regenerate 2 Pack,300,0,0,0
//9421017767068,Trilogy Certified Organic Rosehip Oil 10ml Rollerball,150,0,0,0
9312658657095,In Essence ie Headache Essential Oil Blend 10ml,120,5,5,12
//9341544012700,Burt's Bees Naturally Nude Lip Trio,500,0,0,0
//9420005397591,The Aromatherapy Co. Limited Edition Raspberry Brulee Candle 350g,500,0,0,0
//9342320131608,Nude By Nature Absolute Volumising Mascara 01 Black,0,0,0,0
//9349228005178,Peppermint Grove Lychee & Guava Soy Candle 370g,500,20,20,20
9369998199518,GluteGuard Blister 10 Tablets,150,10,2,5
4005808224388,Nivea Men Protect & Care Face Cream Moisturiser Spf 15 75ml,100,5,5,10
9310059002315,Visine Allergy Eye Drops 15 ml,0,0,0,0
9350279000098,Microshield T Triclosan 1% Skin Cleanser 125ml,220,4,4,15
9312658657088,In Essence ie Balance Essential Oil Blend 10ml,120,5,5,12
4021457637690,Lavera Basis Sensitiv - All Round Cream 150ml,100,0,0,0
9310130074286,Otrivin Junior Nasal Spray 10ml,100,4,4,12
/9343723005534,Nutra Organics Skin Care Soothing Facial Spray After Sun Mist 100ml,100,8,8,6
9420005402462,The Aromatherapy Co. Naturals Diffuser - Blood Orange & Pomelo 120ml,400,8,8,20
9310460110265,Lady Jayne Satin Scrunchie Navy or Cream with Floral Print Only 11026,0,0,0,0
9318637042685,Cetaphil Pro Acne Prone Oil-Free Facial Moisturising Lotion SPF25 118ml,200,6.5,17,3.5
9335955000494,MOOGOO Baby Bubbly Wash 500ml,750,7,9,14
9338817031407,Glasshouse Fragrances  Desert Devine Eau De Parfum 14ml,100,2,2,12
//4021457629060,Lavera Basis Sensitiv Cleansing Milk 125ml,0,6.1,18.5,3.5
//9341544012717,Burt's Bees Self-Care Trio,350,0,0,0
9338817012079,Glasshouse Fragrances The Hamptons Hand Cream Teak & Petitgrain 100ml,100,5,5,12
//9338817020982,Circa Home Jasmine & Magnolia Candle & Diffuser Gift Set,2000,0,0,0
9312658657101,In Essence ie Stress Essential Oil Blend 10ml,120,5,5,12
9316120195504,Brauer Kids Manuka Honey Cold & Flu Oral Liquid 100ml,250,8,8,12
//9338817020296,Glasshouse 21 Night Before Christmas Soy Candle 380g,0,0,0,0
9316542147112,Natio Nail Colour - Dune,100,4,4,10
9326628141088,Pain Away Forte+ Arthritis Pain Relief Spray 100ml,0,0,0,0
86449259933,CRYSTAL Mineral Deodorant Spray Unscented 118ml,150,4,3,12
//9343655000492,No More Sweat BBT Antiperspirant 150ml,200,15,5,5
7611916357756,Weleda Hydrating Facial Mist 100ml,200,5,5,10
9352218001364,NOOSA BASICS Spray Deodorant Rose & Frankincense 100ml,200,4,4,12
//9317046336187,Opti-Free Replenish Contact Lens Solution 120ml,250,10,5,14
5060104170660,YES Cleanse Intimate Wash Unfragranced 150ml,240,8.8,4.7,12.5
9310263001654,Alpha Keri Super Hydrating Gentle Wash 1 Ltr,1200,15,10,22
9300673916457,Panadol Children 5-12 Years Fever & Pain Relief Orange 100ml,250,5.5,3.5,11.5
9314839003134,Ego Moov Insect Repellent Spray 120ml,250,4,4,15
640466164061,Bye Bye Blemish Vitamin C Exfoliating Gel 118ml,120,5,5,12
9317039000446,FESS Little Noses Nasal Spray + Aspirator 15ml,68,6,11.9,4.2
/5011522143422,Eylure Pre-Glued Naturals 031,0,0,0,0
9316542147150,Natio Nail Colour - Lovely,100,4,4,10
9325024000937,12Reasons Argan Oil Serum 100ml,200,6,6,10
//9312658500186,ie Breathe Essential Oil Mist 100ml,0,0,0,0
9312658657064,In Essence ie Hayfever Essential Oil Blend 10ml,120,5,5,12
//5202236186229,ERRE DUE Full Color Lipstick 412 Fatal Instinct,0,0,0,0
9321299102246,Cancer Council Sensitive Sunscreen SPF50+ 110ml,250,5,3,15
/9329221231125,Manicare DermaSOOTHE Massage Globe,350,6,4,12
4013162027187,Fenjal Intensive Body Oil 145ml,200,7,10,14
//5202236106128,ERRE DUE Perfect Brow Designer 12 Sable,0,0,0,0
51131200623,FUTURO Performance Comfort Ankle Support 01037ENR,200,12,5,12
9316542145170,Natio Restore Nourishing Roll-On Eye Serum 16ml,100,3,3,12
//9369998318735,Oral Electrolyte Solution Concentrate 100ml - Orange,350,8,3,14
9300710000620,Bosistos Antifungal Solution 100ml,100,8,8,10
9316542150297,Natio Aromatherapy Daily Protection Face Moisturiser SPF 15+ 50ml,150,0,0,0
//9349228005161,Peppermint Grove Champagne & Red Raspberries Soy Tealights,300,20,20,20
//9338817020401,Glasshouse Fragrances 21 Advent Calendar,3000,0,0,0
9300607490329,Zyrtec Kids Liquid Grape 120ml,150,7,7,12
//3504105028770,Gentle Cleansing Gel 100ml,0,0,0,0
//9312658918677,In Essence ie Mind Trio Set,0,0,0,0
